Times,TEMPERATURE,VCCAUX,VCCBRAM,VCCINT 
2024-08-03 12:09:22,38.3,1.795,1.041,1.036
2024-08-03 12:09:26,37.9,1.794,1.055,1.039
2024-08-03 12:09:31,38.4,1.794,1.043,1.030
2024-08-03 12:09:35,37.9,1.792,1.000,1.014
2024-08-03 12:09:40,38.6,1.794,1.037,0.995
2024-08-03 12:09:44,38.1,1.795,1.013,1.029
2024-08-03 12:09:48,38.4,1.792,0.999,1.006
2024-08-03 12:09:53,37.8,1.795,1.009,1.022
2024-08-03 12:09:57,38.1,1.792,1.044,1.035
2024-08-03 12:10:02,38.1,1.794,1.001,1.011
2024-08-03 12:10:06,38.4,1.794,1.024,1.042
2024-08-03 12:10:10,38.0,1.793,1.044,1.042
2024-08-03 12:10:15,38.5,1.795,1.014,1.028
2024-08-03 12:10:19,37.8,1.793,1.019,1.027
2024-08-03 12:10:24,38.9,1.795,1.017,1.025
2024-08-03 12:10:28,38.3,1.793,1.027,1.007
2024-08-03 12:10:33,38.6,1.794,1.018,1.028
2024-08-03 12:10:37,38.4,1.794,1.039,1.041
2024-08-03 12:10:41,38.4,1.793,1.052,1.033
2024-08-03 12:10:46,38.1,1.795,1.031,1.053
2024-08-03 12:10:50,38.6,1.795,0.998,1.013
2024-08-03 12:10:55,37.9,1.794,1.031,1.047
2024-08-03 12:10:59,38.3,1.794,1.038,1.017
2024-08-03 12:11:04,38.4,1.792,1.030,0.999
2024-08-03 12:11:08,38.1,1.792,1.014,1.000
2024-08-03 12:11:12,38.5,1.794,1.025,1.042
2024-08-03 12:11:17,37.9,1.793,1.013,1.022
2024-08-03 12:11:21,38.6,1.793,1.047,1.039
2024-08-03 12:11:26,38.3,1.794,1.039,1.035
2024-08-03 12:11:30,38.8,1.794,0.998,1.012
2024-08-03 12:11:34,37.9,1.792,1.034,0.998
2024-08-03 12:11:39,38.0,1.796,1.039,1.029
2024-08-03 12:11:43,38.3,1.794,1.031,1.004
2024-08-03 12:11:48,38.5,1.793,1.009,1.025
2024-08-03 12:11:52,38.5,1.794,1.020,1.039
2024-08-03 12:11:57,37.8,1.794,1.040,1.041
2024-08-03 12:12:01,38.8,1.793,0.993,1.008
2024-08-03 12:12:05,38.4,1.794,1.045,1.034
2024-08-03 12:12:10,38.6,1.794,1.038,0.998
2024-08-03 12:12:14,37.8,1.794,1.012,1.025
2024-08-03 12:12:19,38.4,1.795,1.000,1.014
2024-08-03 12:12:23,38.4,1.793,1.008,1.022
2024-08-03 12:12:28,37.9,1.792,1.047,1.043
2024-08-03 12:12:32,38.1,1.794,1.044,1.026
2024-08-03 12:12:36,38.8,1.794,1.009,1.024
2024-08-03 12:12:41,38.1,1.793,1.035,1.029
2024-08-03 12:12:45,38.3,1.794,1.048,1.046
2024-08-03 12:12:50,38.5,1.794,0.995,1.006
2024-08-03 12:12:54,38.4,1.792,1.027,1.039
2024-08-03 12:12:58,37.9,1.795,1.000,1.013
2024-08-03 12:13:03,38.5,1.794,1.050,1.047
2024-08-03 12:13:07,38.9,1.794,1.042,1.032
2024-08-03 12:13:12,38.5,1.795,1.001,1.004
2024-08-03 12:13:16,38.5,1.794,1.044,1.026
2024-08-03 12:13:21,38.1,1.795,1.031,1.044
2024-08-03 12:13:25,38.1,1.793,1.017,1.028
