Times,elabsed_time,dec_code_err,dec_disp_err,dec10b_counter,rst_counter,enc10b_counter
2024-07-07_14:22:36,1289.3857953548431,30.0,130.0,168.0,0.0,170.0
2024-07-07_14:22:46,1298.829517364502,30.0,130.0,200.0,0.0,204.0
2024-07-07_14:22:55,1308.2991664409637,30.0,130.0,232.0,0.0,236.0
2024-07-07_14:23:05,1317.774451971054,30.0,130.0,6.0,0.0,12.0
2024-07-07_14:23:14,1327.1118414402008,30.0,130.0,38.0,0.0,48.0
2024-07-07_14:23:23,1336.54199051857,30.0,130.0,70.0,0.0,82.0
2024-07-07_14:23:33,1345.9707567691803,30.0,130.0,102.0,0.0,114.0
2024-07-07_14:23:43,1355.5720703601837,30.0,130.0,134.0,0.0,149.0
2024-07-07_14:23:52,1364.9314413070679,30.0,130.0,166.0,0.0,178.0
2024-07-07_14:24:01,1374.453046798706,30.0,130.0,166.0,0.0,209.0
2024-07-07_14:24:11,1383.8210144042969,30.0,130.0,198.0,0.0,241.0
2024-07-07_14:24:20,1393.2225816249847,30.0,130.0,230.0,0.0,17.0
2024-07-07_14:24:30,1402.6512973308563,30.0,130.0,6.0,0.0,53.0
2024-07-07_14:24:39,1412.0608143806458,30.0,130.0,38.0,0.0,85.0
2024-07-07_14:24:49,1421.5889422893524,30.0,130.0,70.0,0.0,117.0
2024-07-07_14:24:58,1431.0270128250122,30.0,130.0,102.0,0.0,155.0
2024-07-07_14:25:07,1440.480618238449,30.0,130.0,134.0,0.0,187.0
2024-07-07_14:25:17,1449.8934025764465,30.0,130.0,165.0,0.0,219.0
2024-07-07_14:25:26,1459.3474652767181,30.0,130.0,199.0,0.0,252.0
2024-07-07_14:25:36,1468.8208978176117,30.0,130.0,231.0,0.0,28.0
2024-07-07_14:25:45,1478.3248767852783,30.0,130.0,6.0,0.0,63.0
2024-07-07_14:25:55,1487.682635307312,30.0,130.0,38.0,0.0,95.0
2024-07-07_14:26:04,1497.0416414737701,30.0,130.0,70.0,0.0,127.0
2024-07-07_14:26:14,1506.5642685890198,30.0,130.0,131.0,0.0,191.0
2024-07-07_14:26:23,1516.1040089130402,30.0,130.0,163.0,0.0,224.0
2024-07-07_14:26:32,1525.5033576488495,30.0,130.0,195.0,0.0,0.0
2024-07-07_14:26:42,1534.8888456821442,30.0,130.0,226.0,0.0,32.0
2024-07-07_14:26:51,1544.3311321735382,30.0,130.0,1.0,0.0,64.0
2024-07-07_14:27:01,1553.8085136413574,30.0,130.0,33.0,0.0,97.0
2024-07-07_14:27:10,1563.299877166748,30.0,130.0,65.0,0.0,131.0
2024-07-07_14:27:20,1572.8263103961945,30.0,130.0,93.0,0.0,160.0
2024-07-07_14:27:29,1582.2394070625305,30.0,130.0,121.0,0.0,193.0
2024-07-07_14:27:39,1591.6503450870514,30.0,130.0,153.0,0.0,225.0
2024-07-07_14:27:48,1601.039108991623,30.0,130.0,185.0,0.0,1.0
2024-07-07_14:27:57,1610.5399408340454,30.0,130.0,217.0,0.0,33.0
2024-07-07_14:28:07,1619.9509267807007,30.0,130.0,247.0,0.0,70.0
2024-07-07_14:28:16,1629.3571486473083,30.0,130.0,22.0,0.0,103.0
2024-07-07_14:28:26,1638.8265824317932,30.0,130.0,54.0,0.0,139.0
